feature,weight
previous_defaults > -0.46,0.09747320710889137
credit_limit <= -0.85,0.05441998260030983
dti <= -0.40,-0.03678620187423123
0.01 < term_months <= 0.85,-0.0351262637474173
-0.28 < risk_burden <= -0.01,-0.0323061351465678
loan_per_age <= -0.78,-0.020556360988408205
-0.26 < credit_usage_ratio <= -0.08,0.015719576056506125
-0.86 < savings <= -0.02,0.014209013662042613
-0.51 < savings_to_income <= -0.29,-0.012174125386431709
-0.21 < income_to_emi <= -0.09,-0.011240443501940112
