feature,weight
risk_burden > -0.01,0.8599414367067101
credit_utilization > -0.08,0.13130841764814066
previous_defaults > -0.46,0.0937153078536202
credit_usage_ratio > -0.08,0.04077552833855646
loan_amount > 0.87,0.023004459737315915
0.00 < income <= 0.89,0.01637695983670471
credit_limit <= -0.85,0.012253767627419029
savings > 0.87,0.011223190672572051
-0.29 < savings_to_income <= 0.05,-0.010805268422085481
-0.14 < loan_per_age <= 0.52,-0.009203917889162814
